Species,internal transcribed spacer 2,ITS2
Aedes aegypti,NA,NA
Aedes albopictus,NA,NA
Ochlerotatus annulipes,NA,NA
Aedes atropalpus,NA,NA
Ochlerotatus berlandi,NA,NA
Ochlerotatus cantans,NA,NA
Ochlerotatus caspius,HM140424.1,NA
Ochlerotatus cataphylla,NA,NA
Aedes cinereus,NA,NA
Ochlerotatus communis,NA,NA
Aedes cretinus,MH142328.1,NA
Ochlerotatus cyprius,NA,NA
Ochlerotatus detritus,MN947511.1,NA
Ochlerotatus diantaeus,MG232617.1,NA
Ochlerotatus dorsalis,NA,NA
Ochlerotatus eatoni,NA,NA
Aedes echinus,NA,NA
Ochlerotatus euedes,NA,NA
Ochlerotatus excrucians,NA,NA
Ochlerotatus flavescens,NA,NA
Aedes geminus,NA,AM397840.1
Aedes geniculatus,MG232621.1,NA
Ochlerotatus hexodontus,NA,NA
Ochlerotatus hungaricus,NA,NA
Ochlerotatus intrudens,MG232624.1,NA
Aedes japonicus,MG232625.1,NA
Aedes koreicus,MK765861.1,HG763830.1
Ochlerotatus leucomelas,NA,NA
Acartomyia mariae,NA,NA
Ochlerotatus nigrinus,NA,NA
Ochlerotatus nigripes,NA,NA
Acartomyia phoeniciae,KX009741.1,NA
Ochlerotatus pionips,KF535065.1,NA
Ochlerotatus pulcritarsis,NA,NA
Ochlerotatus pullatus,NA,NA
Ochlerotatus punctor,MG232632.1,NA
Ochlerotatus refiki,NA,NA
Ochlerotatus riparius,NA,NA
Aedes rossicus,NA,NA
Ochlerotatus rusticus,NA,NA
Ochlerotatus sticticus,NA,NA
Aedes vexans,NA,NA
Aedes vittatus,NA,AM084686.1
Acartomyia zammitii,KX009742.1,NA
Anopheles ainshamsi,NA,NA
Anopheles algeriensis,MK412760.1,NA
Anopheles apoci,AY445826.1,NA
Anopheles arabiensis,MN335040.1,NA
Anopheles atroparvus,MK412767.1,NA
Anopheles cinereus,MN460356.1,NA
Anopheles claviger,MK625346.1,AJ555157.1
Anopheles coluzzii,NA,NA
Anopheles coustani,MK129245.1,NA
Anopheles culicifacies,MH187964.1,NA
Anopheles daciae,MN840073.1,LT900210.1
Anopheles dthali,KM068086.1,NA
Anopheles fluviatilis,NA,NA
Anopheles hyrcanus,MK562396.1,NA
Anopheles labranchiae,MG589413.1,NA
Anopheles maculipennis,MK418782.1,NA
Anopheles maculipennis,MK418782.1,NA
Anopheles melanoon,JN112985.1,AM271001.1
Anopheles messeae,MN481113.1,LT900216.1
Anopheles multicolor,AY564229.1,NA
Anopheles persiensis,AY842519.1,FN665794.1
Anopheles petragnani,AY129233.1,NA
Anopheles pharoensis,KR014827.1,NA
Anopheles plumbeus,MK412765.1,NA
Anopheles pulcherrimus,AY842518.1,NA
Anopheles sacharovi,KY225559.1,NA
Anopheles stephensi,NA,NA
Anopheles superpictus,MG589414.1,NA
Anopheles tenebrosus,NA,NA
Anopheles turkhudi,AY456391.1,NA
Anopheles ziemanni,NA,NA
Coquillettidia buxtoni,NA,NA
Coquillettidia richiardii,NA,NA
Culex antennatus,NA,NA
Culex deserticola,NA,NA
Culex duttoni,KU056610.1,NA
Culex europaeus,NA,NA
Culex hortensis,KF483838.1,NA
Culex impudicus,NA,NA
Culex laticinctus,NA,NA
Culex martinii,NA,NA
Culex mimeticus,MF288845.1,NA
Culex modestus,MK972128.1,NA
Culex perexiguus,NA,NA
Culex pipiens,NA,NA
Culex poicilipes,NA,NA
Culex pseudovishnui,MF288848.1,NA
Culex quinquefasciatus,MF288853.1,NA
Culex simpsoni,NA,NA
Culex sinaiticus,NA,NA
Culex sitiens,NA,NA
Culex territans,NA,NA
Culex thalassius,NA,NA
Culex theileri,MK972064.1,NA
Culex torrentium,MK972103.1,NA
Culex tritaeniorhynchus,MF288846.1,NA
Culex univittatus,NA,NA
Culex vagans,NA,NA
Culiseta alaskaensis,NA,NA
Culiseta annulata,NA,NA
Culiseta bergrothi,NA,NA
Culiseta fumipennis,NA,NA
Culiseta glaphyroptera,NA,NA
Culiseta litorea,NA,NA
Culiseta longiareolata,MK861166.1,NA
Culiseta morsitans,NA,NA
Culiseta ochroptera,NA,NA
Culiseta subochrea,MG954356.1,NA
Orthopodomyia pulcripalpis,FJ867653.1,NA
Uranotaenia balfouri,NA,NA
Uranotaenia unguiculata,KY399843.1,NA
